,date,CFS,gage_height,year
0,1965-09-20,16100,9.79,1965
1,1966-09-18,24000,,1966
2,1967-09-20,24900,11.48,1967
3,1968-08-14,15100,9.88,1968
4,1969-07-06,2270,11.07,1969
5,1970-01-01,19616,10.76,1970
6,1971-09-12,24200,11.6,1971
7,1972-08-24,16200,10.2,1972
8,1973-08-06,12600,9.39,1973
9,1974-09-23,26900,12.15,1974
10,1975-07-15,17200,10.43,1975
11,1976-09-26,22700,11.45,1976
12,1977-09-09,33700,13.45,1977
13,1978-09-19,16300,10.3,1978
14,1979-08-18,26800,12.3,1979
15,1980-07-16,20300,11.1,1980
16,1981-08-13,22800,11.6,1981
17,1982-09-22,20700,11.19,1982
18,1983-08-10,14100,9.8,1983
19,1984-08-26,17800,10.59,1984
20,1985-07-23,14500,9.9,1985
21,1986-07-26,15500,10.08,1986
22,1987-08-02,16900,10.39,1987
23,1988-09-01,17800,10.57,1988
24,1989-09-03,26800,12.22,1989
25,1990-08-20,18400,10.7,1990
26,1991-09-18,16100,10.21,1991
27,1992-08-10,17400,10.48,1992
28,1993-08-23,23600,,1993
29,1994-08-08,15200,,1994
30,1995-09-24,42200,12.51,1995
31,1996-01-01,19616,10.76,1996
32,1997-09-28,16000,10.2,1997
33,1998-07-09,17800,10.58,1998
34,1999-09-22,15800,10.15,1999
35,2000-07-22,15900,10.17,2000
36,2001-09-03,20000,10.84,2001
37,2002-07-30,21850,11.09,2002
38,2003-10-09,20100,10.81,2003
39,2004-01-01,19616,10.76,2004
40,2005-07-20,14700,9.71,2005
41,2006-08-25,16900,10.15,2006
42,2007-08-24,14700,9.64,2007
43,2008-09-11,16800,10.21,2008
44,2009-08-17,27500,12.03,2009
45,2010-08-05,16300,10.06,2010
46,2011-09-11,17600,10.28,2011
47,2012-09-26,31500,12.53,2012
48,2013-09-13,21600,10.98,2013
49,2014-08-17,23400,11.29,2014
50,2015-07-08,16500,9.99,2015
51,2016-08-09,18900,10.45,2016
52,2017-09-26,18400,10.37,2017
53,2018-09-22,18900,10.49,2018
54,2019-07-10,19800,10.59,2019
